brand,review_text,star_rating,sentiment,date
ASOS,"9/10 times your order would be successfully delivered. Hopefully it won't go missing and hopefully the fit would be perfect! 
Now comes the issue when your order doesn't get to you because it's lost in transit, or your order doesn't fit right or doesn't look right etc. this is when you'll be dealing with their awful customer service and you'll get one heck of a bad experience. You'd be wishing you hadn't ordered with them in the first place.
And you won't get any gestures of goodwill from them as they don't care. This is the company that doesn't like free returns either annd monitors how many returns you made before they charge you for returning ann item. They want you to think twice and carefully  before ordering from them and that's what I'd be doing. Thinking about where else I  can buy a certain product from. 
 In a nutshell that's the company asos is.",1,Negative,2026-03-23
ASOS,Order number 1036371837. I received a notification that my package had been delivered by in post to the local collection point. I went to collect it today and was told that the courier had taken it back even though I have until tomorrow to collect it! Hope been trying to use a chat but to resolve this but I just keep going round in a circle,1,Negative,2026-03-23
ASOS,"I’m extremely disappointed with the service I’ve received. My parcel was not delivered to me personally, but instead left in a communal post room. This area is not secure, and as a result, I never received my item.

Despite this, I’ve been refused a refund. I paid using Clearpay, so I don’t have Section 75 protection, which makes the situation even more frustrating. Regardless of the payment method, the responsibility to ensure safe and correct delivery still lies with the retailer.

From my perspective, you have failed to uphold your delivery contract. I paid for goods that I did not receive, yet I am now left out of pocket with no resolution.

This feels completely unfair. I would strongly urge you to review this case properly and provide the refund that I am entitled to.

I will be using the small claims court if I do not hear back",1,Negative,2026-03-23
ASOS,"Would give zero stars if I could. Package was delivered to a random bush on another street and even then I was only able to gain a photo of where it was actually delivered by raising the issue with DAI since they did not provide it upon notification of ""delivery"". ASOS also used Evri on the UK side and their customer service was useless (AI slop). ASOS customer service was AI slop as well. Extraordinarily poor service.",1,Negative,2026-03-23
ASOS,"Have had a few products from asos now, always arrived in good time, at a good price. 
Just ordered a new jacket from them.",5,Positive,2026-03-22
ASOS,"I returned an item and did not receive a refund. I spent ages in their live chat trying to speak to a human and then was connected with an agent to whom I provided all the information I could, including proof of shipping, and she closed down the chat without helping me. There is no other way to contact them. They will steal your money and refuse to help you.",1,Negative,2026-03-22
ASOS,Zero customer service. Send incorrect items and expect you to pay to return them.,1,Negative,2026-03-22
ASOS,"I had a really disappointing experience with this company. I ordered a dress (order #1033449625), but was away on a work trip when it arrived. As soon as I got back, I tried it on and found it didn’t fit.

Although I was still within the 28-day return period, I discovered I couldn’t generate a return label anymore because their system had already closed that option. I reached out to customer service, explained the situation, and asked for help—but they refused to make any exception.

It’s frustrating that a company would hide behind a technicality instead of showing any flexibility or understanding, especially when the request is reasonable and within the overall return window. This kind of rigid and unhelpful customer service really damages trust.

I won’t be ordering from them again.",1,Negative,2026-03-21
ASOS,"Terrible company,The company scammed me when they said they will process the refund, and the live agents over 4 days 3 times when they assured me they will process it",1,Negative,2026-03-20
ASOS,I’ve always had a great experience with ASOS but recently I had to return two items and did not get my refund. I contacted their online chat three days in a row and was finally told my refund was processed but i had to wait another ten days (even though I’ve been waiting for eleven days) to get my money. I have subscription to free delivery until July but after that I’m not renewing and I’ll bin them .. sorry that is not good customer service in my opinion. I’m sad as I thought they were pretty good until now.,2,Negative,2026-03-20
ASOS,"Hey this review goes for  Asos.com  clothing company based in UK. I ordered  my first and second  items from this company and everything was fine and good.  Got my items by paying for my Duties and Taxes through my country's postal service,  That's  Canada Post. This year l decided to order  some items from this same company.  My first time  was around  January and February,  Every item was checked out and paid and received  with a tracking number  Though this scam shipping company known as Asendia. This shipping company then started sending me messages that I Should pay Duties and Taxes on my parcel but they Don't tell me where and how to go to pay for the duty and tax.  No invoice or takets  was sent to me to go and pay for Duties and Taxes.  No phone calls for me to pay for the duty and tax on the phone or online. All l read was my orders are been sent back to the retailer and this issue has happened twice within February and March  this year.  I have been trying to get ASOS.COM TO TALK TO SOMEONE TO EXPLAIN WHAT IS GOING ON WITH THE SHIPPING COMPANY THEY ARE USING TO SHIP  THEIR  PRODUCTS TO CANADA THAT WE ARE NOT GETTING OUR PARCELS AND ORDERS SO ASOS SHOULD REFUND MY MONEY BACK TO ME WITH BOTH OF THE ORDERS. ASOS HAS PROVEN TO BE ANOTHER USELESS COMPANY WHEN IT COMES TO COMMUNICATION. BOTH COMPANIES SUCKS WITH COMMUNICATION AND CUSTOMER SERVICE  THEY SHOULD RECONSTRUCT THEIR COMMUNICATIONS SYSTEMS SO CUSTOMERS CAN TRUST THEM MORE BECAUSE WE WANT TO SHOP AND DON'T LOSE OUR MONEY.  SO FAR I HAVE LOST A LOT OF MONEY WITH ASOS AND I DON'T THINK THEY ARE EVEN AWARE OF WHAT IS GOING ON  TO EVEN  REFUND MY MONEY BACK TO ME  BOTH ITEMS  PURCHASED FROM ASOS.COM WERE $160 AND $362 CANADIAN  DOLLARS.  SO JUST IMAGINE HOW MANY PEOPLE HAD GONE THROUGH THIS WITH THIS COMPANY. ASOS YOU SHOULD CHANGE YOUR SHIPPING COMPANY BECAUSE YOUR CUSTOMERS IN CANADA ARE NOT HAPPY. WE ARE NOT GETTING OUR PARCELS AND ORDERS AND YOU ARE NOT REFUNDING US BACK OUT MONEY PLUS YOUR CUSTOMER SERVICE IS THE WORST.  CUSTOMERS PLEASE BE CAREFUL WITH THIS TO USELESS COMPANYS.",1,Negative,2026-03-20
ASOS,"If I could give 0 stars I would , ordered on 17th or march some stuff for my holidays paid next day delivery as on 19th I had a flight arranged to leave someone home to collect the delivery then I get an email from Royal Mail say”attempted to deliver your parcel but no answer” when they did not even try as someone was home . Contacted their customer service which is an AI and is a joke , got to an agent finally explained everything as obviously I did not need them anymore first because nobody would be home and second they were for holidays initially he said they can see is still out for delivery when I did send a screen from the Royal Mail email I had received he said that confusing however wait until end of the day and we will issue a refund if you contact us you did not get it I am still contacting them and nothing yet . Avoid!!!!!",1,Negative,2026-03-20
ASOS,"I placed an order over a week ago, 10 days ago, was advised delivery 3-5 working days, the new delivery provider “Relay” have lost my parcel and now unable to provide a date. I have tried to liaise with Customer Sevice at ASOS, to be put on hold and unable to raise a complaint or receive I refund. This is very poor for ASOS.",1,Negative,2026-03-20
ASOS,ASOS you ain’t sh**. You sent my shoes in a smashed up box. I mean it literally looks like someone grabbed the shoe box w their hands and smashed it. like a hulk squeeze.,1,Negative,2026-03-20
ASOS,"ordered yesterday with next day delivery, hasn’t even been dispatched. been told to wait until 10pm tonight to see if it gets delivered before they will be willing to help.. if it hasn’t been dispatched then it’s clearly not getting delivered today!",1,Negative,2026-03-19
ASOS,"Awful customer service, if you ever manage to actually get a response.",1,Negative,2026-03-18
ASOS,"Ordered adidas spezials for daughter bday. 
Left insole not stuck in properly,  right insole only partially stuck in , for £90 I expect it to be perfect",2,Negative,2026-03-18
ASOS,"Gone downhill, especially the customer service. The chat takes ages - it's like they're trying to wait you out until you give up on them responding. They don't even send emails any more. 

Oh and both my next-day delivery orders came late: one came one day late and the other was two days late.",1,Negative,2026-03-18
ASOS,"Be careful of a site called asos uk flash sales its a scam in which unfortunately I've learnt, but bank will reimburse me. So before buying anything if you dont know the company is to check out their address. I checked it to late the company comes up as boohoo on this site address in London. Boohoo is  actually in Manchester. The company vat number on this scam site does not exist to the company and neither does the email address. So be careful while shopping online. I normally am but on this 1 occasion I wasn't.",1,Negative,2026-03-18
ASOS,I can only echo everyone else here I paid for premier delivery service ordered an item for a wedding and it never turned up. The tracking has not even updated and i contacted them to check and they kept telling me check tomorrow. I asked for refund on the premier as the delivery has not turned up and they have fobbed me off 'you will be contacted about it' when i asked when that would be they said there isnt a time frame! the agents just fob you off and literally tell lies and I feel they have stolen my money!,1,Negative,2026-03-18
ASOS,"I'm truly disappointed.
I have ordered on Monday a large package ,I paid 400 euros,plus 25 euros to have next day delivery. I was supposed to get my parcel today ,but I received an email saying my parcel is delayed. I paid next day delivery for nothing...",1,Negative,2026-03-18
ASOS,"I have been a loyal shopper with ASOS for over 15 20 years I believe I am absolutely disgusted that this is the fourth week and the ninth chat that I have had to go to with your customer care team to try and get my money back money that for some reason you will not give me back even though you have got your products back you are refusing my money on two orders £152 is what you owe me I have been promised over and over and over that this will be sorted and I am ignored over and over and over I have had your customer care team closed chats on me because they are sick of me going on which is disgusting I have sent bank statements in to show that this money has not gone back into my account yet I am still here trying to get my money how dare you treat customers like this how day your customer care team be so disgusting and ignorant when you're trying to get help when you're frustrated and angry because you've come back again and again and again to try and chase promises that have been broken to try and get people to listen to you because you don't have the money that you've been told that you've been sent I am disgusted and appalled and I am going to take this further I am going to find a way to contact head office I have got all my chat logs I have got all the numbers I've got all the names of people that I've spoken to over the four weeks that I've been trying to chase my refunds and I am going to take this further I am disgusted with such a big company and how appallingly I have been treated

I have entered two chat logs the other people wouldn't give me chat logs that again is an appalling thing to do someone called Timone actually close the chat on me because I was trying to explain how many times I've been back and they literally ended the chat because well I don't even know why you would have to ask him to say I am absolutely utterly disgraced at how you have treated me is an understatement",1,Negative,2026-03-18
